"Event","lat","lon","depth","temp","date","year","month","day"
"2012-1125",34.48783875,-75.88349915,74,19.43541418,2012-08-19,2012,8,19
"2012-1126",34.46612167,-75.9101944,73,20.41768564,2012-08-19,2012,8,19
"2012-1127",34.4679184,-75.8868103,85,20.0135994,2012-08-20,2012,8,20
"2012-1128",34.48535156,-75.87735748,77,19.98679988,2012-08-20,2012,8,20
"2012-1129",34.56182861,-76.22341156,39,22.67440033,2012-08-21,2012,8,21
"2012-1130",34.55242157,-76.22414398,39,22.66760063,2012-08-21,2012,8,21
"2012-1131",34.55825043,-76.23312378,37,22.9150664,2012-08-21,2012,8,21
"2012-1132",34.51875687,-76.25769043,37,22.77419949,2012-08-22,2012,8,22
"2012-1133",34.54546356,-76.24416351,37,23.03675032,2012-08-22,2012,8,22
"2012-1134",34.57138443,-76.22682953,37,23.39274979,2012-08-22,2012,8,22
"2012-1135",31.68078041,-80.33878326,29,24.7567997,2012-08-24,2012,8,24
"2012-1136",31.57967377,-80.37669373,30,24.77519989,2012-08-25,2012,8,25
"2012-1137",31.68174744,-80.33454132,29,25.05069574,2012-08-25,2012,8,25
"2012-1138",31.73653221,-80.2144165,34,25.05239347,2012-08-25,2012,8,25
"2012-1139",31.58033752,-80.39466858,29,25.46039963,2012-08-26,2012,8,26
"2012-1140",31.42104721,-80.36981201,36,24.81927522,2012-08-26,2012,8,26
"2012-1141",31.26378632,-80.42449188,37,24.49779987,2012-08-26,2012,8,26
"2012-1142",31.26470947,-80.52409363,34,25.0727005,2012-08-26,2012,8,26
"2012-1143",31.57461166,-80.75626373,20,26.8682003,2012-08-27,2012,8,27
"2012-1144",30.21491051,-81.00379181,28,23.75819969,2012-08-28,2012,8,28
"2012-1145",30.19956779,-80.90057373,27,23.7507,2012-08-28,2012,8,28
"2012-1147",29.66508675,-80.275383,63,12.92440033,2012-08-29,2012,8,29
"2012-1148",29.99363708,-80.28089142,55,19.19019985,2012-08-29,2012,8,29
"2012-1149",30.42358589,-80.46630096,38,25.7020998,2012-08-30,2012,8,30
"2012-1150",30.49141121,-80.52848053,37,24.64374924,2012-08-30,2012,8,30
"2012-1151",30.4961853,-80.5929184,38,24.71249692,2012-08-30,2012,8,30
"2012-1152",30.50449944,-80.60136414,35,24.84232789,2012-08-30,2012,8,30
"2012-1153",30.56118202,-80.73831177,34,25.85024977,2012-08-31,2012,8,31
"2012-1154",30.58173752,-80.78013611,33,26.13164997,2012-08-31,2012,8,31
